"word","freq"
"enjoy",36
"ensure",27
"environment",102
"environmental",68
"es",26
"essential",32
"event",25
"events",32
"eventually",30
"evidence",68
"evolution",35
"evolutionary",31
"examination",32
"examples",78
"existence",26
"existing",30
"expectations",25
"expected",33
"experience",111
"experiences",29
"experiment",28
"experts",28
"explain",68
"explains",32
"explanation",28
"exploration",54
"ext",50
"extent",32
"extinct",37
"extinction",26
"facilities",38
"factor",25
"factors",47
"fairy",38
"family",67
"famous",39
"farm",25
"farmers",64
"farming",32
"features",82
"feel",53
"feelings",25
"festival",28
"fewer",27
"field",45
"figure",27
"film",55
"finally",29
"financial",30
"finding",40
"findings",57
"fire",57
"fires",30
"fishing",26
"focus",75
"focused",27
"follow",39
"food",154
"forest",32
"forests",40
"form",71
"forms",44
"found",226
"free",57
"friends",24
"fruit",32
"fun",26
"function",24
"fundamental",28
"future",109
"genetic",24
"geography",36
"glass",112
"global",36
"goal",37
"goals",34
"government",53
"governments",35
"green",24
"ground",29
"grow",30
"growing",45
"grown",36
"growth",56
"habitat",31
"half",42
"happen",28
"happiness",58
"hard",37
"headings",47
"health",66
"held",31
"helped",44
"helps",25
"highly",45
"historical",25
"history",76
"ho",43
"holidays",24
"homes",31
"hospital",27
"hotel",48
"house",27
"huge",41
"human",172
"humans",52
"hundreds",24
"ice",24
"idea",101
"ideas",81
"identify",27
"ii",36
"iii",26
"impact",100
"implicit",44
"importance",57
"impossible",49
"improve",46
"improving",24
"include",91
"includes",25
"including",68
"increase",73
"increased",57
"increasing",41
"increasingly",30
"individual",48
"individuals",60
"industrial",41
"industry",102
"influence",32
"innovation",32
"insects",69
"inside",25
"instance",34
"institute",25
"intelligence",52
"international",50
"interview",26
"introduction",27
"involve",28
"involved",55
"involves",27
"island",97
"islands",68
"issues",34
"jack",27
"job",53
"jobs",48
"john",35
"journey",33
"key",62
"kinds",44
"knowledge",101
"lack",62
"land",57
"landscape",25
"language",159
"languages",37
"larger",31
"largest",31
"late",27
"laughter",40
"layer",24
"lead",65
"leading",24
"learn",80
"learned",34
"learning",106
"leaves",74
"led",50
"left",61
"letters",107
"level",70
"levels",49
"life",156
"light",61
"limited",27
"linked",26
"literature",24
"live",66
"lives",60
"living",70
"lizards",24
"ll",28
"lo",32
"local",101
"location",25
"locations",29
"looked",35
"lost",55
"lot",82
"low",61
"lower",34
"lynx",34
"main",136
"major",77
"makes",59
"mammoth",30
"management",56
"manager",36
"managers",36
"manufacturing",28
"marine",36
"market",63
"marketing",34
"markets",26
"material",50
"materials",33
"mathematics",28
"meaning",39
"means",70
"measures",29
"meat",29
"media",31
"medical",25
"meet",35
"mention",30
"mentioned",25
"methods",35
"middle",51
"migration",30
"million",30
"mind",33
"minute",37
"modern",52
"money",84
"monolingual",28
"month",27
"months",36
"move",31
"moved",32
"movement",32
"museum",39
"museums",30
"music",160
"national",55
"native",25
"natural",43
"nature",42
"north",34
"nutmeg",38
"obvious",30
"ocean",89
"offer",25
"online",46
"opinion",35
"opportunities",36
"opportunity",37
"organisms",24
"original",63
"ow",74
"pacific",48
"pages",28
"painting",34
"paintings",32
"paper",38
"parents",68
"park",66
"participants",72
"past",80
"patterns",27
"pay",42
"people",799
"performance",48
"period",51
"person",114
"personal",44
"phone",25
"photographs",25
"physical",65
"plan",31
"plans",31
"plant",39
"plants",62
"plastic",32
"play",242
"played",31
"playful",28
"pleasure",28
"policies",30
"policy",27
"pollution",25
"poor",36
"popular",55
"population",74
"populations",34
"position",31
"positive",49
"potential",47
"power",51
"practice",29
"practices",58
"predators",28
"presentation",30
"pressure",24
"prevent",31
"previous",33
"price",35
"prices",32
"principles",28
"process",71
"processes",30
"produce",75
"produced",75
"producing",29
"product",48
"production",87
"products",59
"professor",43
"profit",28
"project",69
"protect",34
"provide",89
"provided",59
"psychological",30
"psychology",31
"public",175
"published",25
"purpose",43
"purposes",27
"quality",60
"question",52
"quickly",41
"railway",24
"range",78
"rate",26
"reach",24
"read",44
"real",45
"reason",57
"reasons",91
"recent",72
"recently",34
"recorded",25
"red",69
"reduce",69
"reference",32
"region",55
"regions",26
"related",46
"relevant",116
"remember",26
"reporting",42
"require",27
"required",44
"research",232
"researcher",30
"researchers",126
"resources",24
"response",33
"responsibility",27
"rest",24
"result",77
"results",70
"return",34
"revealed",25
"revolution",43
"rise",26
"risk",39
"risks",24
"river",29
"road",85
"roads",29
"rob",28
"roger",31
"role",55
"rose",26
"route",24
"run",36
"safe",27
"sample",31
"satisfaction",24
"satisfied",25
"scale",51
"scheme",53
"school",81
"science",61
"scientific",34
"score",64
"sculpture",42
"sea",47
"sections",37
"seed",29
"selecting",42
"sense",39
"sentence",27
"service",27
"services",35
"set",79
"shape",32
"sharing",50
"ship",41
"ships",41
"shopping",33
"shops",25
"short",81
"shown",26
"significant",58
"significantly",28
"silk",57
"similar",63
"simple",32
"simply",30
"single",34
"site",44
"situations",35
"size",38
"skills",85
"social",120
"society",61
"software",26
"soil",119
"sold",25
"sound",81
"sounds",51
"source",56
"sources",24
"south",57
"southern",31
"speaker",36
"special",40
"species",200
"specific",30
"speech",40
"speed",27
"spice",32
"sports",25
"spread",46
"staff",66
"start",64
"started",51
"status",55
"steam",24
"steps",38
"stone",38
"stop",25
"stories",52
"story",68
"strategies",29
"strategy",41
"street",31
"strong",39
"structure",32
"structures",25
"students",106
"studied",28
"study",213
"studying",35
"subject",42
"success",39
"successful",47
"suggest",64
"suggested",41
"suggests",55
"suitable",32
"summary",59
"sun",30
"supply",28
"support",63
"surface",26
"surprised",27
"survive",30
"sustainable",24
"system",73
"systems",49
"taking",40
"tales",42
"talk",98
"tasks",36
"tea",41
"teachers",28
"team",78
"technical",26
"techniques",24
"technology",82
"ten",24
"term",60
"terms",34
"tests",25
"text",32
"theories",84
"theory",50
"thinking",44
"thousands",34
"time",344
"times",65
"told",24
"top",27
"tortoises",36
"tourism",98
"town",51
"trade",64
"traditional",38
"traffic",33
"training",44
"traits",30
"transport",147
"travel",122
"tree",73
"trees",93
"trend",33
"trends",36
"trip",42
"twins",24
"type",63
"types",79
"umber",63
"understand",34
"understanding",45
"unique",29
"united",28
"university",176
"unusual",29
"urban",49
"valley",26
"valuable",30
"values",31
"variety",42
"vast",25
"vehicle",28
"vehicles",59
"vi",28
"view",73
"views",72
"vii",27
"viii",31
"visit",36
"visitor",27
"visitors",81
"volunteers",31
"water",197
"weather",51
"website",58
"week",33
"weeks",28
"west",25
"western",33
"wheel",27
"white",46
"wide",43
"widely",29
"wild",62
"woman",26
"women",36
"won",26
"workers",24
"world",256
"writer",227
"written",36
"wrong",36
"zoos",50
