"word","freq"
"amusements",2
"amusing",2
"amygdala",4
"analyses",6
"analysts",2
"analytical",5
"analyze",1
"analyzed",1
"analyzing",2
"ancestor",4
"ancestors",17
"ancestral",8
"android",1
"anew",14
"angel",4
"angel's",1
"angle",3
"angry",2
"animal's",2
"animated",2
"anniversary",2
"announced",6
"annoyingly",2
"annual",5
"anointing",2
"anonymous",2
"ant",8
"ante",2
"antelope",1
"anthropological",2
"anthropologist",2
"anthropologists",6
"anthropology",7
"anti",4
"antibacterial",2
"antibiotic",4
"antibiotics",8
"anticipate",3
"anticipating",2
"anticipatory",2
"antimicrobial",6
"antique",2
"antiques",2
"antiseptic",2
"antiviral",2
"anxiety",8
"anxious",4
"anyone's",1
"apartment",7
"apartments",2
"apathetic",2
"apathy",2
"ape",8
"apes",2
"aphid",1
"aphids",5
"apparel",2
"apparent",3
"apparently",5
"appeal",6
"appealing",7
"appeals",4
"appearance",7
"appeared",8
"appearing",6
"appears",14
"appendages",2
"appetite",4
"apple",2
"appliance",2
"appliances",2
"applicable",1
"applicant",6
"application",7
"applications",7
"applied",14
"apply",13
"applying",8
"appoint",1
"appointed",4
"appraisal",2
"appreciates",2
"appreciating",2
"appreciation",13
"apprentices",8
"apprenticeship",4
"approached",8
"approaches",10
"approaching",4
"appropriately",2
"approval",2
"approved",2
"approximate",2
"approximately",11
"approximates",2
"apt",2
"aqua",1
"aqueduct",2
"aqueducts",2
"aquifer",2
"arbitrary",2
"archaeologist",2
"archaeologists",15
"archaeology",8
"archer",4
"archipelago",6
"architect",5
"architects",2
"architectural",14
"architecturally",2
"architecture",18
"archives",2
"arctic",13
"argue",11
"argues",13
"arguing",1
"argument",7
"argumentation",1
"arguments",3
"arid",9
"arise",12
"arisen",2
"arises",2
"arising",8
"aristocrats",2
"arithmetic",3
"arms",4
"army",2
"arousal",6
"arousing",2
"arrange",7
"arranged",9
"arrangements",6
"arranges",2
"arranging",2
"array",5
"arrested",2
"arresting",2
"arrival",10
"arrive",16
"arrives",4
"arriving",2
"arrow",8
"arson",14
"arsonists",2
"arteries",2
"article",20
"article's",1
"articles",8
"articulate",4
"artificial",11
"artificially",1
"artist",22
"artist's",2
"artistic",19
"artistry",3
"arts",8
"artwork",4
"artworks",2
"ascent",3
"ascertain",2
"ascertained",2
"ash",3
"ashamed",2
"ashes",2
"aspect",13
"aspiration",1
"aspirations",2
"ass",2
"assemblages",2
"assembled",2
"assembly",2
"asserting",1
"assertions",2
"assess",14
"assessed",4
"assesses",1
"assessing",7
"assessment",14
"assessments",2
"assign",4
"assigned",6
"assignment",4
"assist",6
"assistance",8
"assistant",8
"assistants",4
"assisted",2
"associate",8
"associating",2
"association",12
"associations",10
"assume",3
"assumed",5
"assumption",6
"assumptions",16
"assure",2
"asthma",4
"astonishing",2
"astonishingly",2
"astronomer",2
"astronomical",2
"asynchronous",3
"atavism",6
"atavistic",2
"ate",10
"athletes",2
"athletic",4
"atmospheric",7
"attached",8
"attaches",2
"attachment",2
"attack",2
"attacked",4
"attacks",2
"attained",2
"attempt",16
"attempted",4
"attempting",2
"attempts",14
"attend",6
"attendants",2
"attended",6
"attending",4
"attends",2
"attentiveness",1
"attitude",10
"attract",7
"attracted",17
"attracting",6
"attraction",6
"attractions",6
"attractive",3
"attracts",2
"attributable",2
"attribute",1
"attributed",2
"attributes",4
"attribution",1
"attuned",2
"atypical",2
"audience's",5
"audiences",20
"audio",3
"audit",2
"auditorium",7
"auditors",2
"auditory",6
"augment",4
"augmented",2
"authentic",8
"author",17
"authorities",8
"authority",5
"authors",8
"autism",4
"autistic",2
"automatic",2
"automatically",2
"automation",16
"automotive",4
"autonomous",4
"autonomy",8
"autumn",17
"av",1
"avail",2
"availability",13
"ave",3
"avenue",6
"aver",2
"averaged",2
"avert",2
"avoidance",2
"avoided",6
"avoiding",4
"aw",2
"awaiting",2
"award",11
"awarded",5
"awards",2
"awareness",15
"awe",2
"awnings",2
"axes",4
"axle",3
"axolotl",2
"babble",8
"baby's",2
"babysitter",1
"backdrop",2
"backside",2
"backstage",2
"backstop",2
"backup",3
"backwards",8
"backwater",2
"bacteria",16
"bad",20
"badly",12
"bags",9
"baker",10
"balance",22
"balanced",2
"balancing",2
"ballet",2
"bamboo",1
"banal",1
"bananas",4
"bands",3
"bandwagon",2
"bang",2
"bank",13
"banknotes",4
"banks",9
"banning",1
"banquet",2
"bar",4
"bare",4
"barely",3
"bargaining",2
"barn",6
"barren",4
"barrier",2
"barriers",8
"bars",4
"base",14
"basement",5
"bases",1
"basin",4
"basis",18
"basket",1
"bathing",6
"baths",2
"baton",2
"battery",2
"battle",3
"battles",2
"battling",2
"bay",2
"beach",4
"beaches",2
"beacon",2
"beads",2
"bean",4
"beans",2
"bear",12
"bear's",1
"bearing",3
"bears",10
"beasts",1
"beat",4
"beating",2
"beauties",1
"beautiful",3
"beautifully",1
"beauty",7
"beavers",2
"bed",8
"bee",9
"beech",1
"beef",1
"beehives",2
"beer",12
"bees",6
"beet",2
"beetroot",2
"beg",2
"begin",20
"beginner",2
"beginners",2
"begins",11
"begs",6
"begun",6
"behalf",2
"behave",5
"behaved",2
"behavior",16
"behavioral",5
"behaviors",10
"belief",17
"beliefs",9
"believing",4
"bell",8
"bellies",3
"bells",2
"belong",4
"belonged",6
"belonging",8
"belongs",4
"benchmark",2
"bend",1
"bends",1
"beneath",1
"beneficial",11
"beneficiaries",2
"benefited",1
"bestselling",3
"betrays",2
"beverages",2
"bewildering",2
"bf",2
"bi",3
"bias",4
"biases",2
"bible",2
"biblical",4
"bicycle",4
"bicycles",2
"bigger",7
"biggest",16
"biking",4
"bilingualism",6
"bilinguals",8
"billings",6
"billion",14
"binding",2
"binoculars",1
"bio",6
"biodiversity",13
"biography",4
"biological",4
"biologist",9
"biologists",21
"biology",8
"biomedical",1
"birch",1
"birches",1
"bird",12
"birth",19
"birthplace",2
"bison",2
"bit",12
"bits",6
"bl",4
"black",14
"blackbirds",2
"blacks",2
"blame",9
"blamed",2
"blaming",4
"blank",2
"blasted",4
"blazes",4
"bleak",2
"blend",2
"blind",1
"block",2
"blockbuster",2
"blocks",9
"blog",2
"blood",6
"bloodstreams",2
"bloom",5
"bloom's",1
"blow",4
"blowing",4
"blown",5
"blue",12
"blueprint",2
"blueprints",2
"blues",2
"blurred",1
"boa",4
"boar",4
"boards",16
"boasts",2
"boat",22
"boats",9
"bode",2
"bodies",19
"bodily",2
"boil",2
"boiled",6
"boiler",4
"boiling",3
"bold",2
"bolstered",2
"bolt",2
"bolted",3
"bolts",2
"bond",2
"bonding",2
"bonds",2
"bone",6
"bones",5
"bonobos",2
"bonus",2
"booked",4
"booking",6
"bookings",2
"booklet",2
"bookmark",2
"bookshop",1
"boost",13
"boosted",4
"boosting",2
"bordered",1
"borders",3
"bore",4
"bored",10
"boreholes",2
"boring",11
"born",18
"borne",6
"borrow",2
"borrowing",2
"boss",7
"boss's",1
"bosses",6
"botanic",2
"botanist",2
"bother",6
"bothers",1
"bothersome",2
"bottle",20
"bottleneck",1
"bottlenecks",5
"bottles",10
"bottom",11
"bounced",1
"boundaries",4
"bounty",1
"bout",7
"bow",2
"bowls",2
"bows",1
"bowstrings",1
"boy",3
"boys",10
"bracket",1
"brackets",4
"brain's",2
"branch",2
"branched",2
"branches",11
"brand",13
"brand's",1
"brands",4
"braver",2
"breach",2
"bread",5
"break",18
"breakages",2
"breakdowns",1
"breakfast",12
"breaking",6
"breakneck",1
"breaks",6
"breakwater",2
"breast",2
"breath",4
"breathe",2
"breathing",6
"bred",6
"breed",3
"breeding",16
"breeds",3
"brick",4
"bridge",18
"bridges",4
"briefly",1
"bright",4
"brighter",4
"brightest",2
"brilliance",2
"brilliant",5
"brilliantly",1
"bringers",2
"brings",7
"brink",2
"broad",6
"broader",4
"broadly",2
"broke",6
"broken",3
"bronze",11
"brother",2
"brown",17
"browser",1
"browsers",1
"brush",4
"brushes",5
"brushstrokes",1
"budget",3
"budgetary",2
"buds",2
"buffalo",4
"buffet",2
"bugs",6
"builders",5
"building's",1
"bullet",2
"bullying",4
"bungling",2
"buoyant",4
"bur",2
"burial",12
"buried",1
"burn",6
"burned",4
"burns",4
"burnt",2
"burst",4
"bus",11
"buses",5
"busy",7
"butter",4
"buyers",2
"bye",2
"bygone",2
"bypass",2
"byzantine",2
"ca",20
"cabinet",2
"cables",2
"cacti",4
"cad",2
"cafe",7
"cafe's",1
"cafes",2
"cakes",2
"calculate",4
"calculated",6
"calculations",4
"calendar",2
"calendars",2
"calibrating",2
"call",20
"caller",1
"calling",4
"calls",14
"calm",4
"calories",2
"camel",2
"camels",2
"campaign",11
"campaigner",2
"campaigns",4
"camping",6
"campus",2
"canals",5
"canaries",4
"canary",10
"cancer",6
"candidate's",1
"candidates",16
"candle",2
"candy",2
"cane",2
"canes",2
"cannibalism",1
"cannonballs",2
"canoe",2
"canoes",14
"cans",2
"canvas",3
"canyon",6
"canyons",2
"capabilities",6
"capable",10
"capacity",12
"capital",13
"capitalism",6
"capitals",2
"caps",8
"captain",22
"captions",1
"captivating",2
"captive",10
"captivity",8
"capture",7
"captured",2
"captures",4
"capturing",3
"carcasses",2
"card",12
"cards",3
"care",17
"careers",3
"careful",1
"carefully",13
"caretaker",4
"caretakers",2
"cargo",10
"cargoes",2
"caring",2
"carnival",2
"carnivore",2
"carol",2
"carpets",2
"carriageway",4
"carrier",2
"carry",13
"carrying",14
"carter",4
"cartridges",2
"carved",12
"carving",6
"carvings",2
"cash",15
"cast",10
"caste",1
"cat",7
"cat's",1
"catastrophe",1
"catch",10
"catches",2
"catching",4
"categories",5
"categorizing",4
"category's",1
"catered",2
"catering",3
"cats",4
"cattle",4
"caught",12
"causing",4
"caution",2
"cautionary",4
"cautious",1
"cave",4
"caveman",4
"cecum",2
"ceding",2
"ceiling",2
"celebrate",3
"celebrated",3
"celebrates",2
"celebrating",2
"cell",5
"cello",1
"cells",18
"cellular",4
"cement",2
"cemetery",4
"census",4
"cent",19
"center",5
"centered",4
"centers",1
"ceramics",2
"cereal",4
"cerebellum",2
"ceremonial",2
"ceremonies",4
"ceremony",2
"certainty",2
"certified",2
"cf",2
"cg",2
"ch",14
"chain",13
"chains",4
"chair",9
"chairman",6
"chairs",5
"challenge",18
"challenged",4
"challenges",13
"challenging",10
"chamber",2
"champion",1
"championship",1
"chances",6
"channel",2
"channels",2
"chaos",2
"chapter",4
"chapters",2
"character",23
"characteristic",4
"characteristically",2
"characteristics",20
"characterization",2
"characters",15
"charcoal",6
"charge",9
"charges",1
"charging",6
"charismatic",2
"charitable",2
"charities",2
"charity",5
"charts",16
"chased",4
"chases",1
"chat",2
"cheap",8
"cheapening",2
"cheaper",3
"cheaply",2
"check",21
"checked",1
"checking",2
"chef",2
"chem",4
"chemicals",8
"chemistry",4
"chess",2
"chi",2
"chief",12
"chieftains",2
"child's",1
"childbirth",2
"childcare",8
"childhood",6
"childish",2
"children's",2
"chills",4
"chimp's",1
"chimpanzees",2
"chimps",3
"china's",1
"chink",1
"chinking",1
"chip",8
"chlorine",2
"chocolate",6
"choices",9
"choke",1
"cholera",2
"cholesterol",2
"chooses",4
"choosing",17
"chord",4
"chords",2
"choreographer",2
"choreographers",6
"choreography",2
"chose",12
"chosen",19
"chrome",2
"chromosomes",1
"chronic",2
"chroniclers",4
"chronological",2
"church",8
"churning",2
"cine",2
"cinema",11
"cinemas",2
"circle",3
"circles",2
"circuitous",2
"circular",3
"circulation",6
"circumstances",13
"cite",3
"cited",4
"cites",6
"citing",1
"citizen",1
"citizens",4
"civil",4
"ck",2
"cl",15
"clad",2
"claim",14
"claimed",9
"claiming",2
"clamp",2
"clarity",3
"clash",2
"class",19
"classes",18
"classic",10
"classical",8
"classification",2
"classified",3
"classifying",5
"classroom",2
"classrooms",2
"clauses",2
"clay",5
"clean",11
"cleaned",2
"cleaning",10
"cleanliness",2
"cleanup",4
"cleared",6
"clearer",2
"clearing",3
"clerical",2
"click",7
"clientele",2
"clients",16
"climates",4
"climatic",6
"climax",3
"climb",2
"climbing",7
"climbs",2
"clinic",2
"clip",6
"clipper",6
"clippers",10
"cloakroom",3
"clock",4
"clone",2
"cloning",2
"closed",14
"closely",15
"closer",9
"closest",2
"closing",2
"clothes",23
"clothing",13
"cloud",4
"clouding",2
"clouds",6
"clowns",1
"club",19
"clubs",8
"clue",2
"clues",12
"cluster",2
"clustered",2
"cm",12
"coach",18
"coal",6
"coastal",6
"coastline",1
"coat",4
"coating",6
"coats",1
"cochineal",2
"cocktail",4
"cocoon",2
"cocoons",3
"code",17
"codes",8
"codified",2
"coexisted",2
"coffins",2
"cog",1
"cognitive",16
"cogs",5
"coherence",1
"coherently",3
"cohesion",2
"cohesive",7
"coin",2
"coincidence",2
"coincides",2
"coined",1
"coins",3
"coir",4
"col",7
"cold",12
"colder",2
"collaborate",2
"collaborating",4
"collaboration",11
"collaborative",2
"collaborators",1
"collapse",1
"collapsed",3
"collapses",2
"collar",2
"collars",2
"colleague",6
"collect",14
"collected",11
"collections",12
"collective",12
"collector",3
"collector's",1
"collects",8
"colleges",1
"collisions",2
"colonies",4
"colonizers",2
"colonnaded",2
"colony",2
"color",2
"colorful",1
"colors",2
"colossal",2
"colossus",1
"combat",2
"combating",1
"combination",11
"combinations",3
"combine",5
"combined",3
"combing",2
"combining",9
"comedy",9
"comfortable",4
"comforts",2
"comics",2
"coming",17
"command",7
"commands",2
"commemoration",1
"comment",10
"commentaries",2
"commentary",1
"commentator",4
"commentators",6
"commented",4
"commenting",2
"comments",21
"commission",10
"commissioned",4
"commissions",4
"commitment",8
"committee",10
"committees",2
"commodity",7
"commonly",4
"commonplace",2
"commons",1
"communal",2
"communicate",19
"communicates",2
"communicating",5
"communications",2
"communicative",2
"communities",14
"community",16
"commute",1
"compactness",1
"companions",4
"company's",2
"comparable",2
"compare",12
"compares",4
"comparing",4
"comparison",9
"compass",2
"compatible",2
"compelling",7
"compensate",4
"compensated",2
"compensates",2
"compensation",4
"compete",2
"competed",1
"competence",1
"competencies",2
"competent",5
"competing",4
"competition",18
"competitions",6
"competitive",14
"competitor",2
"competitors",12
"complain",4
"complained",4
"complaints",2
"complementary",4
"completed",17
"completely",22
"completing",2
"completion",12
"complexes",4
"complexity",7
"complicated",8
"complied",4
"component",7
"components",6
"composed",12
"composer",18
"composers",10
"composing",1
"composition",5
"compositions",9
"compost",2
"composting",2
"compound",8
"comprehend",2
"comprehensive",4
"comprise",2
"comprises",5
"comprising",2
"compromise",4
"compromised",2
"compulsory",2
"computational",2
"computers",14
"con",1
"concealed",1
"conceals",2
"conceive",2
"conceived",3
"concentrate",9
"concentrated",3
"concentrates",2
"concentrating",1
"concentration",2
"concentrations",5
"concept",16
"conceptions",2
"concepts",7
"conceptualize",2
"concern",14
"concerned",17
"concerns",13
"concert",18
"concerts",6
"concise",2
"conclude",2
"concluded",2
"conclusion",15
"conclusions",5
"concrete",4
"condemned",4
"condenser",2
"condiment",2
"condition",16
"conditioned",4
"conditioning",12
"conductance",2
"conducted",9
"conducting",3
"conference",4
"conferences",1
"confidence",14
"confident",1
"configurations",1
"confined",6
"confinement",2
"confirm",3
"confirms",2
"conflict",18
"conflicting",4
"conflicts",6
"confronted",2
"confused",1
"congestion",1
"congregating",1
"conifers",4
"conjunction",1
"conjure",2
"connect",2
"connected",7
"connecting",2
"connection",15
"connections",5
"connects",3
"connotations",2
"connotative",2
"conquered",5
"conquest",4
"cons",2
"conscious",10
"consecutive",2
"consensus",2
"consequence",4
"consequences",4
"conservationists",8
"conservative",1
"conservatory",2
"conserve",2
"conserved",2
"conserving",2
"considerable",10
"considerably",7
"consideration",5
"considerations",4
"considered",19
"considers",3
"consist",3
"consisted",3
"consistent",3
"consistently",2
"consists",16
"consolidation",2
"conspicuous",2
"constant",10
"constantly",2
"constitutes",2
"constriction",1
"construct",4
"constructed",12
"constructing",2
"constructive",6
"constructively",2
"consultant",2
"consulted",2
"consume",3
"consumed",4
"consumer",22
"consumerism",6
"consuming",8
"consumption",17
"cont",1
"contagious",4
"contained",10
"container",4
"containers",10
"containment",2
"contemporary",8
"contend",1
"contended",2
"contends",4
"content",14
"contention",2
"contentment",2
"contents",9
"contexts",3
"continent",3
"continental",2
"continents",1
"continually",2
"continued",12
"continues",10
"continuing",1
"continuous",2
"continuously",2
"continuum",4
"contract",7
"contracts",2
"contradict",2
"contradicted",1
"contraption",1
"contrary",3
"contrast",17
"contrasted",2
"contrasting",4
"contrasts",2
"contribute",13
"contributed",4
"contributes",9
"contributing",4
"contribution",7
"contributions",12
"contributor",2
"contributory",2
"controllable",2
"controlled",9
"controls",1
"controversial",2
"controversy",7
"convenient",6
"conventional",4
"conventionally",2
"conventions",3
"converged",1
"conversation",8
"conversations",4
"conversely",2
"conversion",2
"converted",2
"converts",2
"convey",2
"conveying",4
"conveys",1
"conviction",4
"convictions",2
"convince",9
"convinced",7
"cooing",2
"cook",3
"cooked",2
"cookers",1
"cookery",7
"cooking",18
"cooks",3
"cool",9
"cooled",4
"cooler",2
"cooling",4
"cools",2
"cooperated",2
"cooperation",4
"cooperative",4
"coordination",4
"cope",23
"cope's",1
"copes",2
"copies",6
"coping",3
"copper",2
"copra",2
"copy",3
"copying",2
"copyright",4
"cor",1
"coral",4
"corals",2
"core",19
"corn",1
"corner",3
"corners",2
"cornet",2
"cornstalks",1
"corporate",10
"corporation",6
"corpus",4
"correction",2
"corrections",2
"correctly",7
"correlation",2
"correspondence",2
"corresponds",2
"corridor",9
"corridors",8
"corrupt",2
"cosine",2
"cosmetics",6
"costly",2
"costume",2
"costumes",2
"cotton",2
"coughing",2
"council's",2
"count",1
"counter",8
"counteract",6
"counteracted",2
"counteracting",2
"countering",2
"counterpart",2
"counterparts",6
"counting",3
"countless",2
"countryside",3
"counts",2
"county",1
"couple",9
"coupled",4
"courage",12
"courier",1
"courses",14
"court",4
"courts",8
"courtyard",2
"cover",12
"covered",14
"covering",8
"covers",5
"cox",2
"cracked",2
"cradle",4
"craft",9
"crafts",3
"craftsman",1
"craftsmen",2
"crane",3
"crash",4
"crate",2
"craters",2
"crawling",2
"crazy",2
"creaky",1
"creasing",2
"creates",5
"creation",11
"creations",5
"creator",2
"creature",8
"creatures",8
"credible",2
"credit",5
"credits",1
"creep",2
"crept",2
"crew",12
"crew's",1
"crick",6
"cries",2
"crime",12
"criminal",4
"criminals",4
"crimson",2
"crises",2
"crisis",7
"crisps",2
"criteria",17
"critical",14
"critically",2
"criticism",12
"criticisms",2
"criticize",2
"critics",4
"croft",2
"crop",9
"cropping",2
"cross",22
"crossed",2
"crossing",18
"crossings",6
"crowd",4
"crowded",5
"crowds",1
"crucial",9
"crude",2
"cruise",8
"crumbly",1
"crying",1
"crystal",4
"cs",7
"ct",8
"cu",1
"cubic",2
"cud",2
"cue",2
"cues",5
"cuisine",2
"culmination",2
"culprit",2
"cult",2
"cultivated",8
"cultivating",6
"cultivation",5
"cultural",20
"culturally",2
"cultures",21
"cup",4
"cupboard",6
"cupped",4
"cups",5
"curb",2
"cure",8
"curing",2
"curiosity",8
"curious",2
"curled",2
"currencies",1
"currency",2
"currents",5
"curriculum",2
"curtailed",2
"curtains",1
"curved",2
"cushioning",1
"custom",4
"customer",21
"cut",13
"cutoff",2
"cuts",5
"cutting",18
"cycle",14
"cycles",2
"cycling",14
"cyclists",8
"dad",2
"dads",4
"daily",8
"dam",4
"damaged",18
"damaging",12
"damp",8
"dance",16
"dancers",4
"dancing",6
"danger",23
"dangerous",11
"dangerously",4
"dangers",15
"danish",12
"daring",2
"dark",5
"darker",2
"database",6
"databases",2
"dates",13
"dating",2
"daughter",2
"daunting",6
"day's",1
"daytime",2
"db",2
"dead",3
"deadly",7
"deaf",2
"dealing",12
"dealt",2
"dear",2
"death",12
"deaths",4
"debate",23
"debated",2
"debilitating",2
"decade",8
"decay",2
"deceptive",1
"deceptively",1
"decibels",2
"decide",20
"decided",23
"decidedly",2
"decides",3
"deciding",4
"decimated",1
"decipher",1
"decision",14
"decisions",16
"decisive",2
"declare",4
"declared",2
"declined",4
"declines",4
"declining",1
"decoding",1
"decomposing",2
"decorate",4
"decorated",1
"decorating",2
"decoration",3
"decorations",2
"decorative",2
"decrease",13
"decreased",6
"decreases",2
"decreasing",2
"dedicated",8
"dedication",2
"deduced",2
"deduction",2
"deepens",2
"deeper",5
"deepest",4
"deeply",5
"deer",4
"defend",4
"defensive",2
"deficiency",2
"define",4
"defined",13
"defining",6
"definite",3
"definitions",7
"definitive",4
"definitively",2
"deforestation",3
"defying",2
"degenerative",2
"degradation",19
"degrade",2
"degrading",2
"degree",20
"degrees",2
"delays",3
"deliberately",6
"delicate",5
"delight",3
"deliver",2
"delivered",1
"delivering",4
"delving",2
"demanded",2
"demanding",4
"demands",14
"dementia",2
"demise",2
"democracy",2
"demographic",1
"demographics",2
"demolition",1
"demonstrate",10
"demonstrated",8
"demonstrates",5
"demonstrating",2
"demonstration",2
"demure",1
"denied",2
"dense",4
"density",2
"dentists",4
"denuded",2
"department",17
"departments",8
"depend",4
"depended",8
"dependence",3
"dependency",3
"dependent",12
"depending",16
"depends",8
"depict",2
"depicted",3
"depicting",6
"depictions",4
"depleted",5
"deposit",5
"deposited",1
"depositing",1
"depression",4
"deprive",2
"deprived",2
"depth",4
"depths",7
"derelict",4
"derivative",2
"derived",8
"desalination",10
"descend",6
"descendants",5
"descended",3
"descending",4
"descends",2
"descent",2
"describes",12
"describing",3
"descriptions",4
"descriptive",2
"desert",12
"desertification",2
"deserts",4
"deserve",2
"designer",9
"designers",10
"designing",7
"designs",17
"desirable",6
"desire",14
"desired",1
"desires",4
"desperate",4
"despoiled",1
"destination",9
"destinations",5
"destroy",2
"destroyed",11
"destroyers",1
"destroying",3
"destruction",12
"destructive",8
"detach",2
"detail",6
"detailed",14
"detect",6
"detected",2
"detecting",2
"detective",2
"deter",2
"detergent",1
"deteriorate",4
"deterioration",4
"determine",11
"determined",9
"determines",2
"determining",7
"deterred",2
"detract",1
"detriment",2
"detrimental",8
"developmental",8
"develops",3
"devices",19
"devils",6
"devise",4
"devised",1
"devising",2
"devoid",5
"devolved",2
"devoted",2
"diagnosis",2
"diagrams",5
"dialogue",21
"diametrically",3
"diamond",8
"diamond's",1
"dichotomy",4
"dickens",5
"dictate",2
"dictionary",4
"die",13
"died",10
"diesel",2
"diet",10
"differences",17
"differs",1
"difficulties",17
"difficulty",18
"digest",2
"digging",7
"digit",4
"digital",17
"digitally",2
"dignified",2
"dilapidated",2
"dilate",2
"dimension",2
"dimensions",2
"diminish",2
"diminished",2
"diminishing",9
"dimming",1
"dingle",4
"dingle's",1
"dining",2
"dinner",4
"dioxide",20
"dip",2
"diploma",2
"diplomatic",1
"dipping",2
"direct",17
"directed",10
"direction",20
"directions",2
"directly",22
"director",16
"director's",1
"directors",22
"directorship",2
"directs",2
"dirt",2
"dirty",2
"dis",1
"disabled",5
"disadvantage",11
"disadvantaged",2
"disadvantages",22
"disagree",21
"disagreed",2
"disagrees",2
"disappear",9
"disappearance",8
"disappeared",4
"disappearing",4
"disappears",2
"disappointed",4
"disappointing",6
"disapprove",2
"disaster",5
"disasters",6
"disastrous",2
"discards",2
"discern",1
"discipline",5
"disciplines",3
"disclose",1
"discount",2
"discounts",2
"discourage",2
"discouraged",5
"discover",14
"discoveries",8
"discovering",12
"discrepancy",2
"discrete",2
"discs",2
"discussed",5
"discusses",4
"discussing",15
"disguise",2
"disgust",4
"dish",2
"dishes",4
"dishonest",2
"dishwasher",2
"dishwashers",2
"disinfectant",2
"dislike",6
"disliked",4
"dismal",2
"dismantled",2
"dismantles",2
"dismantling",2
"dismissed",2
"disorder",10
"disorders",2
"disparity",2
"disperse",1
"dispersed",2
"displace",1
"displacement",5
"displacing",4
"displayed",2
"displaying",4
"displays",9
"displeasure",2
"disposal",6
"disposed",4
"disposes",2
"disposing",2
"disposition",2
"dispositional",2
"disproved",2
"disputes",2
"disregard",2
"disrupted",3
"disruption",4
"dissatisfaction",6
"dissatisfied",6
"dissected",2
"dissertation",2
"dissonant",1
"distance",16
"distances",12
"distant",5
"distilled",5
"distinct",11
"distinction",6
"distinctive",4
